CLASS HABITAT-TYPE-GROUP
NAME B1
HABITAT-TYPES 170:171:172:320:322:323:324:330:350:370
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:L:CW:MC
END

CLASS ALL-VEG-TYPES
947
PP-DF,MTS,1,4,SUCCESSION:PP-DF/MMU/4:0:PP-MPB:DF/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/MEDIUM/2:0,PP-DF:380:280
DF-GF,MMU,1,3,SUCCESSION:DF-GF/MMU2/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-GF/MEDIUM/3:0:ROOT-DISEASE:DF/MMU/2:0,DF-LP:353:189:L-LP-DF-AF:410:229:DF-GF:455:150
PP-DF,MTS,1,3,SUCCESSION:PP-DF/MMU/3:0:PP-MPB:DF/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/MEDIUM/2:0,PP-DF:380:150
DF-GF,MMU,1,2,SUCCESSION:DF-GF/MMU/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-GF/MEDIUM/3:0:ROOT-DISEASE:DF/MMU/2:0,DF-LP:353:189:L-LP-DF-AF:410:229:DF-GF:455:20
PP-DF,MTS,1,2,SUCCESSION:PP-DF/MMU/3:0:PP-MPB:DF/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/MEDIUM/2:0:ROOT-DISEASE:PP-DF/MMU/2:0,PP-DF:380:20
LP,PTS,1,3,SUCCESSION:LP/PTS2/3:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:LP/POLE/2:0,DF-LP:224:188:LP:180:150
LP,PTS,1,2,SUCCESSION:LP/PTS/3:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:LP/POLE/2:0,DF-LP:234:39:LP:180:20:AF:217:40
DF,SS,3,4,SUCCESSION:DF/POLE/4:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF/POLE/3:0,DF:60:300
DF,SS,3,3,SUCCESSION:DF/PTS/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF/POLE/2:0,DF:60:170
DF,SS,3,2,SUCCESSION:DF/PTS/2:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF/POLE/2:0,DF-LP:36:74:DF:60:40
PP,MMU,1,4,SUCCESSION:PP-DF/MMU/4:0:PP-MPB:PP/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MTS/2:0,PP:455:280
PP,MMU,1,3,SUCCESSION:PP-DF/MMU/4:0:PP-MPB:PP/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MTS/2:0,PP:455:150
DF-LP,SS,1,4,SUCCESSION:DF-LP/SS2/4:0:MIXED-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0,DF-LP:40:280
PP,MMU,1,2,SUCCESSION:PP-DF/MMU/3:0:PP-MPB:PP/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MTS/2:0,PP:455:20
DF-LP,SS,1,3,SUCCESSION:DF-LP/SS2/3:0:MIXED-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0,DF-LP:40:150
DF-LP,SS,1,2,SUCCESSION:DF-LP/SS2/2:0:MIXED-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0,DF-LP:40:20
EARLY-SERAL,LARGE,1,4,SUCCESSION:EARLY-SERAL/LMU/4:0:LIGHT-LP-MPB:EARLY-SERAL/MEDIUM/3:0:LIGHT-WSBW:EARLY-SERAL/LARGE/4:0:MIXED-SEVERITY-FIRE:L-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/LARGE/4:0:SEVERE-LP-MPB:L-DF/MEDIUM/3:0:SEVERE-WSBW:EARLY-SERAL/LARGE/3:0,EARLY-SERAL:530:280:LATE-SERAL:570:431:L-LP-DF-GF:566:355
EARLY-SERAL,LARGE,1,3,SUCCESSION:EARLY-SERAL/LMU/3:0:LIGHT-LP-MPB:EARLY-SERAL/MEDIUM/2:0:LIGHT-WSBW:EARLY-SERAL/LARGE/3:0:MIXED-SEVERITY-FIRE:L-DF-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/LARGE/3:0:SEVERE-LP-MPB:L-DF/MEDIUM/2:0:SEVERE-WSBW:EARLY-SERAL/LARGE/2:0,EARLY-SERAL:530:150:LATE-SERAL:602:190:L-LP-DF-GF:546:147
EARLY-SERAL,LARGE,1,2,SUCCESSION:EARLY-SERAL/LMU/3:0:LIGHT-LP-MPB:EARLY-SERAL/LARGE/2:0:LIGHT-WSBW:EARLY-SERAL/LARGE/2:0:MIXED-SEVERITY-FIRE:L-DF-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/LARGE/2:0:SEVERE-LP-MPB:L-DF/LARGE/2:0:SEVERE-WSBW:EARLY-SERAL/LARGE/2:0,EARLY-SERAL:530:20:LATE-SERAL:516:142:L-LP-DF-GF:535:11
